supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
Aosom,garden-furniture,"L-Shaped 8-Seater Aluminium Garden Dining Set with Bench, Grey",84B-815V70,,805.09,575.3,yes,4,below,,,879,176.05,829,166.46,,yes
D.I. Designs,console-tables,Bentley Grey Aged Oak Console Table,CO-08,,713,570,yes,4,below,,,871,174.5,821,164.6,,yes
Aosom,garden-furniture,"6-Piece Rattan Corner Sofa Set with Glass-Top Table, Grey",860-146V70,,718.76,534.43,yes,4,below,,,817,163.91,770,154.52,,yes
D.I. Designs,sofas,Mickleton Cream Chenille Armchair,CC-05C,,668,534,yes,4,below,,,816,163.48,769,154.06,,yes
D.I. Designs,coffee-tables,Witley Coffee Table,KK-CT-WIT-OAK-001,,655,524,yes,4,below,,,801,160.66,755,151.52,,yes
D.I. Designs,living-room-storage,Grafton Black Chest of Drawers,COD-06,,670,525,yes,4,below,,,802,160.51,756,151.42,,yes
D.I. Designs,console-tables,Berkeley White Console Table,CO-15,,680,510,yes,9,below,,,779,155.84,735,147.63,,yes
D.I. Designs,bathroom-mirrors,Hampton Ivory Octagonal Wall Mirror,MI-05I,,623,498,yes,4,below,,,761,152.45,717,143.52,,yes
D.I. Designs,console-tables,Abberley One Drawer Black Console Table,CO-02,,608,486,yes,5,below,,,743,149.06,700,140.3,,yes
D.I. Designs,console-tables,Grafton Black Console Table,CO-13,,594,475,yes,4,below,,,726,145.53,684,136.98,,yes
D.I. Designs,bedside-tables,Hampton Grey Bedside Table,BT-11,,593,474,yes,4,below,,,724,144.82,683,137.09,,yes
Aosom,garden-furniture,"5-Piece Aluminium Garden Sofa Set with Glass-Top Table, Grey",84G-462V00CG,,598.48,472.02,yes,4,below,,,721,144.24,680,136.38,,yes
D.I. Designs,bedside-tables,Hampton Ivory Round Bedside Table,BT-19I,,563,450,yes,4,below,,,688,138.04,648,129.76,,yes
D.I. Designs,sofas,Kington Grey Club Chair,CC-06G,,563,450,yes,6,below,,,688,138.04,648,129.76,,yes
D.I. Designs,side-tables,Leckford Ribbed Black Oak Occasional Table,OT-01,,563,450,yes,9,below,,,688,138.04,648,129.76,,yes
